## 01b | Names on the door | ドアの なまえ | Upstairs corridor, morning
@ Before breakfast, Aoi studies old name labels on the bedroom doors. Haru has added a ridiculous label to the bathroom. Misaki brings a laundry basket. Aoi's phone has no messages from the year she remembers. | あさごはんの まえです。ドアに なまえが あります。おかあさんは せんたくものを もちます。あおいは でんわを みます。あの としの メッセージは ありません。
@ Aoi and Rina prepare the anniversary display. Aoi proposes that someone stay near Misaki when the company representative arrives. Rina agrees to practical help but rejects an order to follow Misaki everywhere. | あおいと りなは おいわいの じゅんびを します。テーブルに カードと はな。あおいは きょうの よていを はなします。りなは はなしを ききます。
あおい|きょう、かいしゃの ひとが きます。|Someone from the company is coming today.
りな|はい。しょるいの ひとですね。|Yes. The person with the documents.
あおい|その とき、りなさんも ここに いますか。|Will you be here then too?
りな|います。わたしは ここで はたらきます。|I will. I'll be working here.
あおい|おかあさんの そばが いいです。|It would be good if you were near Mom.
りな|なにか しんぱいですか。|Are you worried about something?
あおい|はい。しょるいは むずかしいです。|Yes. The documents are difficult.
りな|わたしも しょるいは とくいじゃありません。|I'm not good with documents either.
あおい|でも、ふたりは ひとりより いいです。|But two people are better than one.
りな|そうですね。でも、みさきさんの きもちも あります。|True. But Misaki has her own feelings too.
あおい|おかあさんは いつも だいじょうぶです。ことばだけ。|Mom always says she's fine. Just the words.
りな|わたしたちは おかあさんの かんしじゃありません。|We aren't here to watch over her every move.
あおい|かんしじゃ ありません。おてつだいです。|It isn't surveillance. It's help.
りな|じゃ、まず おかあさんに ききます。|Then we'll ask her first.
あおい|はい。それが いいです。|Yes. That's a good idea.
りな|みさきさん。あとで わたしたちも いっしょですか。|Misaki. Can we join you later too?
みさき|しょるいの はなしですか。|For the discussion about the documents?
あおい|はい。わたしも ききます。|Yes. I'd like to listen too.
みさき|いいですよ。でも、おみせの しごとも あります。|That's fine. But there's cafe work too.
りな|わたしは レジです。あおいちゃんは おちゃです。|I'll cover the till. Aoi can bring tea.
あおい|おちゃと、しょるいの はなしです。|Tea, and the document discussion.
みさき|はい。わかりました。|Yes. Understood.
りな|これは はなの カードです。どこに おきますか。|This is the flower card. Where should it go?
みさき|まどの テーブルに おねがいします。|On the window table, please.
あおい|この しろい カードですか。|This white card?
りな|そうです。こちらは パンの カードです。|Yes. This one is for the bread.
あおい|「じゅうねん、ありがとう。」いいですね。|“Ten years. Thank you.” That's nice.
みさき|あと じゅうねんも ここです。|Another ten years here too.
あおい|はい。あと じゅうねんも。|Yes. Another ten years.
りな|その とき、はるくんは おとなですね。|Haru will be an adult then.
みさき|その ときも パンでしょう。|He'll still be all about bread.
あおい|カメラも ありますよ。|And cameras too.
りな|じゃ、しゃしんの カフェですね。|Then it'll be a photography cafe.
あおい|ゆいの ノートも ここです。みんなの おみせです。|Yui's notebook will be here too. Everyone's cafe.
みさき|そうですね。わたしだけの おみせじゃありません。|That's true. It isn't only my cafe.
あおい|だから、はなしも みんなで おねがいします。|Then please include everyone in the conversation too.
@ Misaki agrees but checks her phone as soon as Aoi turns away. A new message contains only an umbrella symbol and a time. She turns the phone face down. Aoi has gained permission to participate, not access to every secret. | おかあさんは うなずきます。でも、でんわに あたらしい メッセージ。かさの マークと じかんだけです。おかあさんは がめんを したに します。
! G025 G027 G028 G013 G041
? What boundary does Rina insist on? | Ask Misaki rather than silently controlling or following her.
? What does Misaki agree to? | Letting Aoi listen to the document discussion while Rina covers service.

## 11b | The number on the old card | ふるい カードの ばんごう | Counter, after Sato leaves
@ Misaki wants to call the management company. Aoi points out that the number on today's document might lead back to Sato. Misaki retrieves a business card from an older rent receipt. It has a different number and the same company name. | おかあさんは かいしゃに でんわします。あおいは きょうの しょるいを みます。おかあさんは ふるい カードを だします。かいしゃの なまえは おなじです。ばんごうは ちがいます。
あおい|その ばんごうは きょうの しょるいですか。|Is that number from today's document?
みさき|はい。ここに あります。|Yes. It's here.
あおい|ふるい ばんごうも ありますか。|Do you have an older number too?
みさき|まえの カードが あります。ひきだしです。|There's an earlier card. In the drawer.
あおい|おかねの ひきだしですか。|The money drawer?
みさき|いいえ。こっちの ひきだしです。|No. This drawer.
りな|こちらは レシートですね。カードも あります。|These are receipts. There are cards too.
あおい|なまえは おなじです。ばんごうは べつです。|The name is the same. The number is different.
みさき|あたらしい ばんごうかも しれません。|It may be a new number.
あおい|はい。でも、まず ふるい ほうです。|Yes. But the old one first.
りな|おみせの でんわで かけますか。|Will you use the cafe phone?
みさき|いいえ。にかいは しずかです。にかいで かけます。|No. It's quiet upstairs. I'll call upstairs.
あおい|わたしも いきます。|I'll come too.
みさき|いまは ひとりで はなします。あとで みんなに はなします。|I'll talk alone now. I'll tell everyone afterward.
あおい|でも、おかあさん。|But, Mom.
りな|あおいちゃん。おやくそくです。|Aoi. We agreed.
あおい|はい。わかりました。|Yes. Understood.
みさき|ありがとう。ノートは ここですか。|Thank you. Is the notebook here?
あおい|はい。ゆいの ノートです。さいしょの ページです。|Yes. Yui's notebook. The first page.
みさき|「おかあさん」ですか。わたしの はなし？|“Mom”? My story?
あおい|はい。きょうの よる、みんなで。|Yes. Tonight, with everyone.
みさき|ながい はなしです。|It's a long story.
あおい|じかんは あります。きょうは あります。|We have time. We have time today.
みさき|そうですね。きょうは あります。|That's true. We have time today.
りな|おちゃも パンも あります。|We have tea and bread too.
みさき|じゃ、あとで。すぐ もどります。|Then later. I'll be right back.
あおい|おかあさん。あの カードも おかあさんの はなしですか。|Mom. Is that card part of your story too?
みさき|どの カードですか。|Which card?
あおい|われた カップの カードです。|The card with the broken cup.
みさき|その カードは、なくさないで ください。|Please don't lose that card.
あおい|こたえじゃ ありません。|That isn't an answer.
みさき|ごめんなさい。よるに はなします。|I'm sorry. I'll tell you tonight.
りな|みさきさん、おみずも どうぞ。|Misaki, take some water too.
みさき|ありがとう。あおい、レジを おねがいします。|Thank you. Aoi, the till, please.
あおい|はい。ここに います。|Yes. I'll be here.
みさき|そう。それで だいじょうぶです。|Good. That's enough.
@ As Misaki climbs the stairs, she pauses at the framed opening-day photograph. She touches the face of a young woman mostly hidden behind her own shoulder. Aoi sees the gesture but cannot see which face she touched. | おかあさんは かいだんで とまります。ふるい しゃしんに ふれます。しゃしんに わかい おんなの ひとが います。あおいからは、その かおが よく みえません。
! G001 G002 G006 G008 G023 G025 G028
? Why use the older contact number? | It comes from an independent earlier record rather than today's questioned document.
? What does Misaki promise? | To explain her story to everyone that evening.

## 11c | The photograph on the stairs | かいだんの しゃしん | Stair foot, moments later
@ Aoi stops at the photograph instead of following Misaki. Haru stands on the lowest step to look with her. Rina knows the date but not the unnamed young woman in the image. They find a second blue cup at the far edge of the table in the photograph. | あおいは かいだんの したで しゃしんを みます。はるも いっしょです。りなは ひづけを しっています。でも、わかい おんなの ひとの なまえは しりません。
はる|これは おみせの さいしょの ひですか。|Is this the cafe's first day?
りな|はい。じゅうねん まえです。|Yes. Ten years ago.
あおい|おかあさんは ここです。おとうさんは となりです。|Mom is here. Dad is beside her.
はる|ぼくは どこですか。|Where am I?
あおい|まだ いません。はるの まえです。|You aren't there yet. Before you.
はる|じゃ、パンは たくさん ありますね。|Then there's plenty of bread.
りな|そうですね。まだ パンの おうさまは いません。|That's right. The bread king hasn't arrived yet.
あおい|この ひとは だれですか。おかあさんの うしろです。|Who's this person? Behind Mom.
りな|わかりません。わたしも その ひは いませんでした。|I don't know. I wasn't there that day either.
はる|かおが はんぶんだけです。おねえちゃんみたい。|Only half a face. Looks like you.
あおい|わたしは この とき、こどもです。|I was a child then.
りな|にていますね。でも、べつの ひとです。|There is a resemblance. But it's someone else.
あおい|この ひとの まえに カップが あります。|There's a cup in front of this person.
はる|あおい カップです。おねえちゃんのです。|A blue cup. Yours.
あおい|でも、こっちにも あおい カップが あります。|But there's a blue cup here too.
りな|ほんとうですね。ふたつ あります。|You're right. There are two.
はる|じゃ、ひとつは ぼくのです。|Then one is mine.
あおい|いまは ひとつだけです。もう ひとつは どこですか。|There's only one now. Where's the other?
りな|ふるい カップです。われたのかも しれません。|It's an old cup. Maybe it broke.
あおい|われた カップ……。|A broken cup...
はる|おねえちゃん。また こわい かおです。|Aoi. You're making that scary face again.
あおい|ごめん。しゃしんを みます。かおは ふつうです。|Sorry. I'm looking at the photo. Normal face.
りな|ふつうより、ちょっと へんです。|A little stranger than normal.
あおい|これで どうですか。|How about this?
はる|もっと へんです。|Stranger.
あおい|じゃ、かおは やすみです。|Then my face is taking a break.
りな|それが いいです。おみせに もどります。|Good idea. I'm going back to the cafe.
あおい|はい。すぐ いきます。|Yes. I'll be right there.
はる|しゃしんの うらは みますか。|Shall we look at the back of the photo?
あおい|これは おかあさんのです。あとで いっしょに みます。|It's Mom's. We'll look with her later.
はる|かってに だめですね。|We shouldn't do it without asking.
あおい|はい。わたしも さっき まちがいました。|Right. I made that mistake earlier too.
はる|じゃ、ノートに「カップ ふたつ」です。|Then write “two cups” in the notebook.
あおい|「カップ ふたつ」。それから、「なまえは まだ」。|“Two cups.” And “name still unknown.”
はる|あしたは なまえも ありますか。|Will we have a name tomorrow?
あおい|たぶん。あしたも ここで。|Maybe. Here tomorrow too.
@ Haru returns to the tables. Aoi places her present-day blue cup beneath the framed photograph, aligning it with one of the two cups. It matches both. The cafe bell rings: Ren has returned. | はるは テーブルへ いきます。あおいは いまの カップを しゃしんの したに おきます。ふたつの カップは、どちらも おなじです。ベルが なります。れんです。
! G001 G002 G006 G022 G023 G024
? What does the old photo establish? | There were originally two similar blue cups.
? Is the half-hidden woman's identity confirmed? | No. A resemblance is only a lead.
