## 01 | The date on the cup | カップの ひづけ | Bedroom above the cafe, dawn
@ A blue cup lies broken in darkness. A woman's hand reaches for an empty place at the table. Cut to the same cup, whole, beside a ringing phone. Aoi wakes in her old room. The phone reads 4/12. Her mother's slippers stop outside the door. | くらい へや。あおいの て。われた あおい カップ。つぎは、あさ。カップは きれいです。でんわの がめんは 4/12 です。ドアの そとは、おかあさんです。
みさき|ありがとう。でも、りなは わるい ひとじゃありません。|Thank you. But Rina isn't a bad person.
あおい|わかりません。|I don't know.
みさき|わたしは りなを しんじます。|I trust Rina.
あおい|おかあさんは、みんなを しんじます。|You trust everyone.
みさき|みんなじゃありません。|Not everyone.
あおい|あおい かさの ひとは？|What about the person with the blue umbrella?
みさき|どこで みましたか。|Where did you see them?
あおい|しゃしんです。はるの しゃしんです。|In a photo. Haru's photo.
みさき|ああ。|Oh.
あおい|おかあさんの ともだちですか。|Are they your friend?
みさき|むかしの ともだちです。|An old friend.
あおい|なまえは？|Their name?
みさき|いまは、おみせの しごとです。|Right now, we have cafe work.
あおい|その ひとも きょう ここに きますか。|Will that person come here today too?
みさき|わかりません。|I don't know.
あおい|この ふうとうは あさの ふうとうですか。|Is this the envelope from this morning?
みさき|はい。ぎんこうの おかねです。|Yes. The money for the bank.
あおい|べつの ふうとうも ありましたか。|Was there another envelope too?
みさき|ふうとうは たくさん あります。|There are lots of envelopes.
あおい|おかあさん。|Mom.
みさき|あおい。わたしも おとなです。|Aoi. I'm an adult too.
あおい|わたしも おとなです。|So am I.
みさき|そうですね。|That's true.
あおい|ひとりで だいじょうぶですか。|Are you all right handling it alone?
みさき|いまは、だいじょうぶです。|For now, I'm all right.
あおい|いまは。|For now.
みさき|ぎゅうにゅうは？|The milk?
あおい|ここです。|Here.
みさき|あたたかいですね。|It's warm.
あおい|すみません。すぐ れいぞうこに いれます。|Sorry. I'll put it in the fridge right away.
みさき|ありがとう。ひとつずつです。|Thank you. One thing at a time.
あおい|はい。ひとつずつ。|Yes. One thing at a time.
@ Misaki relocks the drawer, leaving the key attached to her apron. Aoi photographs the intact envelope corner. Misaki watches her do it but does not object. For the first time they both know the other is withholding something. | おかあさんは ひきだしを しめます。かぎは エプロンに あります。あおいは ふうとうの しゃしんを とります。おかあさんは なにも いいません。ふたりは しずかです。
! G026 G027 G060 G023 G025
? Is the cafe money missing? | No. All thirty thousand yen is present.
? What new conflict replaces Aoi's first suspicion? | Her mother knows the umbrella carrier but avoids explaining the encounter.

## 10 | The woman Aoi accused | りなの はなし | Cafe side alley, early afternoon
@ Rina stands in the alley eating a misshapen strawberry. Aoi brings two glasses of water. The shared coat rack is visible through the open side door; the red scarf still hangs there. Rina initially thinks Aoi wants another key check. | りなは みせの よこの みちで いちごを たべます。あおいは みずを ふたつ もちます。ドアの むこうに あかい スカーフが あります。あおいは りなの となりに たちます。
あおい|りなさん。おみずです。|Rina. Some water.
りな|ありがとう。かぎは もう ありませんよ。|Thanks. I don't have any more keys, you know.
あおい|かぎの はなしじゃありません。|It isn't about the key.
りな|そうですか。|I see.
あおい|あさは、すみませんでした。|I'm sorry about this morning.
りな|こわかったですよ。|You scared me.
あおい|ごめんなさい。|I'm sorry.
りな|わたしの かばんも しらべますか。|Will you search my bag too?
あおい|いいえ。しらべません。|No. I won't.
りな|よかった。おかしが たくさん あります。|Good. There's a lot of candy in it.
あおい|おかしは わるくないです。|Candy isn't bad.
りな|はるくんには ひみつです。|It's a secret from Haru.
あおい|それは むずかしいです。|That will be difficult.
りな|そうですね。|That's true.
あおい|あの スカーフは いつ かいましたか。|When did you buy that scarf?
りな|きのうです。えきで かいました。|Yesterday. At the station.
あおい|ひとりで いきましたか。|Did you go alone?
りな|みさきさんと いきました。|I went with Misaki.
あおい|おかあさんと？|With Mom?
りな|はい。おなじ スカーフを かいました。|Yes. We bought matching scarves.
あおい|おかあさんも あかですか。|Mom's is red too?
りな|そうです。あかは あたたかい いろです。|Yes. Red is a warm color.
あおい|おかあさんの スカーフは どこですか。|Where is Mom's scarf?
りな|わかりません。かばんの なかでしょうか。|I don't know. Maybe in her bag?
あおい|そうですか。|I see.
りな|あおいちゃん。なにが こわいですか。|Aoi. What are you afraid of?
あおい|おなじ ことです。|The same thing.
りな|おなじ？|The same?
あおい|いえ。おみせが たいせつです。|No. The cafe matters to me.
りな|わたしにも たいせつです。|It matters to me too.
あおい|どうしてですか。|Why?
りな|むかし、わたしは おかねが ありませんでした。|A while ago, I had no money.
あおい|はい。|I see.
りな|ここで パンを たべました。みさきさんの パンです。|I ate bread here. Misaki's bread.
あおい|おかあさんは なにも いいませんでした。|Mom never mentioned it.
りな|そういう ひとです。|That's the kind of person she is.
あおい|わたしは なにも しりませんでした。|I didn't know any of this.
りな|わたしも あなたの ことを ぜんぶは しりません。|I don't know everything about you either.
あおい|そうですね。|That's true.
りな|でも、いまは ここに います。|But we're here now.
あおい|はい。|Yes.
りな|いっしょに はたらきますか。|Shall we work together?
あおい|はい。いっしょに はたらきます。|Yes. Let's work together.
りな|じゃ、この いちごも いっしょに？|Then shall we share this strawberry too?
あおい|それは りなさんのです。|That one's yours.
りな|ちいさいですからね。|Because it's small, right?
あおい|いいえ。もう はんぶん ありません。|No. Half of it is already gone.
りな|たんていですね。|You are a detective.
あおい|まだまだです。|I have a long way to go.
@ Rina offers the untouched strawberry she had kept in her other hand. Aoi accepts it. Inside, Misaki opens her bag to answer her phone. A second red scarf is visible. Aoi sees it without interrupting the call. | りなの もう ひとつの てに、きれいな いちご。あおいは それを もらいます。みせの なかで、おかあさんは かばんを あけます。なかに あかい スカーフが あります。
! G026 G043 G013 G029 G059
? Who bought the other red scarf? | Misaki bought one with Rina.
? What motivates Rina's loyalty? | Misaki helped feed her when she had no money.

## 11 | The wrong signature | サインの ちがい | Cafe, afternoon delivery
@ A neatly dressed property-company representative, Sato, arrives with a document folder. He calls Aoi by name before she introduces herself. Misaki reaches for the red box; Aoi brings tea and uses the tray to stay near the paperwork. | さとうさんは しょるいの ファイルを もちます。あおいの なまえを しっています。おかあさんは あかい はこを とります。あおいは おちゃを もちます。
さとう|こんにちは。あおいさんですね。|Hello. You're Aoi, right?
あおい|はい。どなたですか。|Yes. Who are you?
さとう|さとうです。かんりがいしゃの さとうです。|Sato. From the management company.
あおい|どうして わたしの なまえを？|How do you know my name?
さとう|みさきさんから ききました。|Misaki told me.
みさき|こんにちは。さとうさん。|Hello, Mr. Sato.
さとう|おめでとうございます。じゅうねんですね。|Congratulations. Ten years.
みさき|ありがとうございます。|Thank you.
あおい|おちゃを のみますか。|Would you like tea?
さとう|はい。おねがいします。|Yes, please.
あおい|ここで のみますか。|Will you drink it here?
さとう|はい。すこしだけです。|Yes. Just briefly.
みさき|しょるいは これです。|Here are the documents.
さとう|ありがとうございます。サインは ここです。|Thank you. Your signature goes here.
あおい|これは なんの しょるいですか。|What are these documents for?
さとう|おみせの こうしんです。|The cafe's renewal.
あおい|こうしん？|Renewal?
みさき|らいねんも ここで はたらきます。そういう しょるいです。|We'll work here next year too. That's what the documents are for.
あおい|らいねんも？|Next year too?
さとう|もちろんです。|Of course.
あおい|この ページも おなじですか。|Is this page for the same thing too?
さとう|はい。おなじです。|Yes. The same.
あおい|でも、ここは べつの なまえです。|But there's a different name here.
さとう|かいしゃの なまえです。|The company name.
あおい|おみせの なまえじゃありませんね。|It isn't the cafe's name, is it?
さとう|そうです。もんだい ありません。|That's right. No problem.
みさき|あおい、おちゃは？|Aoi, the tea?
あおい|ここです。あの、ペンは？|Here. Um, the pen?
さとう|こちらです。|Here.
あおい|おかあさんの ペンは あおです。|Mom's pen is blue.
みさき|くろでも いいです。|Black is fine too.
あおい|この サインは くろです。|This signature is black.
みさき|それは わたしの サインじゃありません。|That isn't my signature.
さとう|かいしゃの ひとの サインです。|It's the signature of someone at the company.
あおい|ここに おかあさんの なまえが あります。|Mom's name is here.
さとう|ああ。ふるい ページです。すみません。|Oh. An old page. Sorry.
みさき|ふるい ページ？|An old page?
さとう|まちがいです。こちらが あたらしい ページです。|A mistake. This is the new page.
あおい|ふるい ページも ここに おねがいします。|Please leave the old page here too.
さとう|それは かいしゃの しょるいです。|That is a company document.
みさき|でも、わたしの なまえです。|But it has my name.
さとう|かいしゃで かくにんします。|I'll check at the company.
みさき|きょうは サインを しません。|I won't sign today.
さとう|きょうまでですよ。|The deadline is today.
みさき|では、かいしゃに でんわします。|Then I'll call the company.
さとう|わかりました。ごご、また きます。|Understood. I'll come back this afternoon.
あおい|いまも ごごです。|It's already afternoon.
さとう|あとで、です。|Later, I mean.
みさき|はい。あとで。|Yes. Later.
あおい|おちゃは のみませんか。|Aren't you having the tea?
さとう|すみません。いまは じかんが ありません。|Sorry. I don't have time now.
@ As Sato closes his folder, Haru's camera clicks from beneath a table. It captures a page edge, not a readable signature. Aoi stops Haru from chasing him for a better picture. Misaki keeps the unsigned replacement page and writes the company's number on a blank card. | さとうさんは ファイルを しめます。テーブルの したで、カメラの おと。しゃしんには ページの はしだけ。おかあさんは あたらしい ページを もちます。まだ サインは ありません。
! G001 G002 G005 G026 G027 G025 G060
? What concrete discrepancy stops the signing? | A signature appears beside Misaki's name, but she says it is not hers.
? Did Haru obtain proof of forgery? | No. His photograph does not show a readable signature.

## 12 | Tomorrow calls back | あしたからの でんわ | Back room and side door, afternoon
@ Misaki goes upstairs to call the company using an independently saved number. Aoi sits with the unsigned page. Ren returns for the promised coffee. Outside, someone lifts Rina's scarf from the shared rack, then puts it back. We see only a sleeve. | おかあさんは にかいで かいしゃに でんわします。あおいの まえに、サインの ない ページ。れんは コーヒーを のみに きます。ドアの そばで、だれかの てが スカーフに ふれます。
れん|こんにちは。いまは おきゃくさんです。|Hello. Now I'm a customer.
あおい|いらっしゃいませ。|Welcome.
れん|コーヒーを ひとつ おねがいします。|One coffee, please.
あおい|パンも たべますか。|Will you have some bread too?
れん|はい。バナナは もう ありません。|Yes. The bananas are gone now.
あおい|ひるごはんも？|Lunch too?
れん|はい。はやい ひるごはんでした。|Yes. It was an early lunch.
あおい|パンは わたしからです。|The bread is from me.
れん|どうしてですか。|Why?
あおい|あさの おれいです。|To thank you for this morning.
れん|ありがとう。なにか わかりましたか。|Thanks. Did you find anything out?
あおい|すこし。でも、わからない ことも あります。|A little. But there are things I don't understand too.
れん|そうですか。|I see.
あおい|あおい かさの ひとは、おかあさんの ともだちです。|The person with the blue umbrella is Mom's friend.
れん|よかったですね。|That's good.
あおい|たぶん。|Maybe.
れん|カードは？|And the card?
あおい|ここに あります。|It's here.
れん|あ、これ。|Oh, this.
あおい|なにか？|What is it?
れん|この かどです。ちいさい あなが あります。|This corner. There's a little hole.
あおい|ほんとうですね。|You're right.
れん|ぼくの はいたつの カードも おなじです。|My delivery cards are the same.
あおい|おなじ あなですか。|The same hole?
れん|はい。クリップの あとです。|Yes. A mark from a clip.
あおい|はいたつの かいしゃは？|Which delivery company?
れん|えきの うらの かいしゃです。|The company behind the station.
あおい|あした、そこに いきます。|I'll go there tomorrow.
れん|あしたは やすみです。|It's closed tomorrow.
あおい|そうですか。じゃ、きょう。|I see. Then today.
りな|あおいちゃん。おかあさんから です。|Aoi. It's from your mother.
あおい|でんわですか。|A phone call?
りな|いいえ。メモです。|No. A note.
あおい|「よる、みんなで はなします。」|“We'll all talk tonight.”
りな|みんなで、です。|All of us, she says.
あおい|はい。みんなで。|Yes. All of us.
はる|おねえちゃん。でんわです。|Aoi. Your phone.
あおい|だれから？|Who is it?
はる|なまえは ありません。|There's no name.
あおい|もしもし。|Hello?
こえ|あおいさんですか。|Is this Aoi?
あおい|はい。どなたですか。|Yes. Who is this?
こえ|あおいです。|Aoi.
あおい|いたずらですか。|Is this a prank?
こえ|あおい カップは、まだ ありますか。|Do you still have the blue cup?
あおい|どうして……。|How...?
こえ|きょうは しがつ じゅうににちですね。|Today is April twelfth, right?
あおい|はい。|Yes.
こえ|こちらは、しがつ じゅうさんにちです。|It's April thirteenth here.
あおい|あした？|Tomorrow?
こえ|あおいさん。おかあさんは どこですか。|Aoi. Where is your mother?
あおい|にかいです。|Upstairs.
こえ|いいえ。そこには いません。|No. She isn't there.
あおい|だれですか！|Who are you?
こえ|あかい スカーフの ひとは、おかあさんです。|The person in the red scarf is your mother.
@ Aoi runs upstairs. Misaki's chair is empty; her phone is still connected to the company's recorded greeting. Her red scarf is missing from the open bag. Downstairs, Rina's scarf remains on its hook. Aoi reaches the side door as a woman with a blue umbrella crosses the far end of the lane. Cut before the woman's face is seen. | あおいは にかいに いきます。いすに おかあさんは いません。でんわから かいしゃの こえ。かばんは あいています。あかい スカーフは ありません。したの スカーフは まだ あります。みちの むこうに、あおい かさの おんなの ひと。かおは みえません。
! G001 G002 G005 G010 G023 G025 G026 G029
? What does the mysterious caller claim? | To be Aoi, calling from April thirteenth. This is a claim, not yet confirmed time travel.
? What has Aoi accomplished, and what has become worse? | She stopped an unexplained signature from being accepted, but her mother has disappeared and the timeline is less predictable.
